epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,16836,0.78616,0.66143,1.20896,0.92565,0.93089,0.94828,0.71417,0.93051,0.50089,1.40112,6.19e-05,6.19e-05,6.19e-05
78,16969.3,0.78906,0.64165,1.20004,0.9276,0.93858,0.94777,0.71131,0.92995,0.50072,1.39823,5.9425e-05,5.9425e-05,5.9425e-05
79,17101.4,0.7783,0.6475,1.20913,0.92131,0.93956,0.94912,0.71567,0.92317,0.48697,1.39532,5.695e-05,5.695e-05,5.695e-05
80,17232.8,0.77816,0.64173,1.19738,0.92302,0.94371,0.94833,0.71956,0.92123,0.48895,1.39552,5.4475e-05,5.4475e-05,5.4475e-05
81,17364.1,0.77905,0.63848,1.19284,0.92443,0.94389,0.94864,0.71318,0.93526,0.48758,1.41324,5.2e-05,5.2e-05,5.2e-05
82,17495,0.77379,0.63363,1.19145,0.92727,0.94071,0.95172,0.72054,0.92121,0.49105,1.39723,4.9525e-05,4.9525e-05,4.9525e-05
83,17626.1,0.77683,0.63384,1.19465,0.92645,0.94236,0.95262,0.72273,0.92134,0.48234,1.40105,4.705e-05,4.705e-05,4.705e-05
84,17757,0.7642,0.61225,1.19124,0.92958,0.93967,0.95245,0.71945,0.92807,0.47981,1.40608,4.4575e-05,4.4575e-05,4.4575e-05
85,17888.4,0.76357,0.62825,1.18328,0.92351,0.94263,0.95039,0.72259,0.91258,0.48581,1.39117,4.21e-05,4.21e-05,4.21e-05
86,18019.5,0.77417,0.63036,1.1989,0.92621,0.94136,0.95068,0.71567,0.92301,0.48456,1.39769,3.9625e-05,3.9625e-05,3.9625e-05
87,18150.4,0.77593,0.62525,1.18786,0.92921,0.94205,0.95031,0.71622,0.92385,0.48524,1.39991,3.715e-05,3.715e-05,3.715e-05
88,18281.3,0.75953,0.616,1.18915,0.9233,0.94568,0.95146,0.7137,0.92818,0.48358,1.40558,3.4675e-05,3.4675e-05,3.4675e-05
89,18412.5,0.76876,0.62389,1.2001,0.92335,0.94817,0.95101,0.7158,0.92261,0.4783,1.40064,3.22e-05,3.22e-05,3.22e-05
90,18543.3,0.74967,0.60769,1.17857,0.92467,0.9443,0.95118,0.71861,0.92512,0.48013,1.40272,2.9725e-05,2.9725e-05,2.9725e-05
91,18670.3,0.66489,0.46165,1.20318,0.92453,0.94025,0.9505,0.71458,0.92518,0.48793,1.40398,2.725e-05,2.725e-05,2.725e-05
92,18798.1,0.65409,0.4315,1.18028,0.92555,0.94029,0.95007,0.71324,0.9253,0.4835,1.40818,2.4775e-05,2.4775e-05,2.4775e-05
93,18925,0.64514,0.42858,1.17814,0.93153,0.93817,0.95104,0.715,0.93162,0.48071,1.41978,2.23e-05,2.23e-05,2.23e-05
94,19701.5,0.65112,0.42862,1.17992,0.93105,0.94196,0.95157,0.71633,0.92673,0.48204,1.41142,1.9825e-05,1.9825e-05,1.9825e-05
95,19876.8,0.63593,0.41978,1.16457,0.92458,0.94506,0.95079,0.71672,0.92799,0.47891,1.41309,1.735e-05,1.735e-05,1.735e-05
96,20054.4,0.63282,0.41504,1.16957,0.92877,0.94142,0.95146,0.71942,0.92386,0.47588,1.4065,1.4875e-05,1.4875e-05,1.4875e-05
97,20280.6,0.62726,0.40969,1.16893,0.93043,0.93633,0.95215,0.71818,0.92681,0.47634,1.40823,1.24e-05,1.24e-05,1.24e-05
98,20481.9,0.62615,0.40955,1.15878,0.92865,0.93856,0.95251,0.71819,0.92753,0.47373,1.4111,9.925e-06,9.925e-06,9.925e-06
99,20654.4,0.6273,0.41097,1.15699,0.92997,0.93979,0.95204,0.7198,0.92759,0.47223,1.4116,7.45e-06,7.45e-06,7.45e-06
100,20826.8,0.62731,0.40328,1.15834,0.92969,0.94282,0.95297,0.72056,0.92406,0.47022,1.40868,4.975e-06,4.975e-06,4.975e-06
